,id,vagueQuestion,clearQuestion,clarifyingQuestion,clarification,answers
34,6629199459601104475,What is the airport code for abu dhabi?,What is the IACO  airport code for Abu Dhabi International Airport?,Do you mean the IATA or the IACO code?,IACO.,OMAA
35,-4950316745090894056,Who sings don't mess around with jim?,"Who sings the original recording of ""You Don't Mess Around with Jim""?",Do you mean the original recording?,Yes.,Jim Croce; James Joseph Croce
36,-4950316745090894056,Who sings don't mess around with jim?,"What character sings ""You Don't Mess Around with Jim"" on Stranger Things?",Do you mean the original recording?,No. I mean the character who sings it on Stranger Things.,Hawkins sheriff Jim Hopper; the sheriff; Jim Hopper
37,-8652199953083038138,How many ligue 1 titles does psg have?,How many ligue 1 titles does psg have as of 2017?,As of what year?,2017,6
38,-8652199953083038138,How many ligue 1 titles does psg have?,How many ligue 1 titles does psg have as of 2016?,As of what year?,2016,6
39,-8652199953083038138,How many ligue 1 titles does psg have?,How many ligue 1 titles does psg have as of 2015?,As of what year?,2015,5
40,1237920926774398276,When's the next time easter falls on april fools day?,"As of 2015, when is the next time Easter falls on April fools day?",As of what year?,2015,2018
41,1237920926774398276,When's the next time easter falls on april fools day?,"As of 2016, when is the next time Easter falls on April fools day?",As of what year?,2016,2018
42,1237920926774398276,When's the next time easter falls on april fools day?,"As of 2017, when is the next time Easter falls on April Fools Day?",As of what year?,2017,2018
43,-3430387669519489370,How many seasons are there of star wars the clone wars?,How many seasons are there of Star Wars: The Clone Wars (2008)?,Do you want to know about 2003 or 2008 show?,2008,7
44,-3430387669519489370,How many seasons are there of star wars the clone wars?,How many seasons are there of Star Wars: Clone Wars (2003)?,Do you want to know about 2003 or 2008 show?,2003,3
45,6389345907245133102,When was the national world war ii memorial built?,When did construction start on the national World War II memorial?,Do you want to know the date when construction started or the date when it was officially established?,When construction started.,"September, 2001"
46,6389345907245133102,When was the national world war ii memorial built?,When was the National World War II memorial officially established?,Do you want to know the date when construction started or the date when it was officially established?,When memorial was officially established.,"April 29, 2004"
47,7063169977317265636,With what are the german die brücke artists associated?,With what group are the german die brücke artists associated?,Are you interested in the group or the art type the german die brücke artists are associated with?,Group.,Fauves; the Fauves
48,7063169977317265636,With what are the german die brücke artists associated?,With what art type are the german die brücke artists associated?,Are you interested in the group or the art type the german die brücke artists are associated with?,Art type.,expressionism
49,3630976503357786326,What is the scientific name for a red fox?,What is the scientific name for all red foxes?,Red foxes of which region are you interested in?,For all red foxes.,V. vulpes; Vulpes vulpes
50,3630976503357786326,What is the scientific name for a red fox?,What is the scientific name for a european red fox?,Red foxes of which region are you interested in?,Europe.,V. v. crucigera
51,3630976503357786326,What is the scientific name for a red fox?,What is the scientific name for the red foxes in Alaska and western Canada?,Red foxes of which region are you interested in?,Alaska and western Canada.,"V. v. alascensis, V. v. abietorum, V. v. regalis, and V. v. rubricosa"
52,3630976503357786326,What is the scientific name for a red fox?,"What is the scientific name for the red foxes in the rocky mountains, the cascade range, and sierra nevada?",Red foxes of which region are you interested in?,"the rocky mountains, the cascade range, and sierra nevada.","V. v. macroura, V. v. cascadensis, and V. v. necator"
53,3630976503357786326,What is the scientific name for a red fox?,What is the scientific name for the red foxes in Sacramento Valley?,Red foxes of which region are you interested in?,Sacramento Valley.,V. v. patwin
54,5998037098651415370,Who is the father of accounting when and what did he describe?,"Who is the ""father of accounting""?","Do you need to know who the ""father of accounting"" is or his years of life?","Who the ""father of accounting"" is.",Luca di Borgo; Luca Pacioli; Fra Luca Bartolomeo de Pacioli
55,5998037098651415370,Who is the father of accounting when and what did he describe?,"When did the ""father of accounting"" live?","Do you need to know who the ""father of accounting"" is or his years of life?",His years of life.,c. 1447 – 19 June 1517
56,-3713688239328074547,How many jury members in a criminal trial?,How many jury members deliberate in a criminal trial for serious felonies in most of US?,Criminal trial of which region are you inerested in?,Most of US.,usually 12; 12
57,-3713688239328074547,How many jury members in a criminal trial?,How many minimum jury members in a criminal trial in Florida?,Criminal trial of which region are you inerested in?,Minimum in Florida.,6
58,-3713688239328074547,How many jury members in a criminal trial?,How many jury members in a criminal trial in Scotland?,Criminal trial of which region are you inerested in?,Scotland.,15
59,-3713688239328074547,How many jury members in a criminal trial?,How many jury members in a criminal trial in republic of ireland?,Criminal trial of which region are you inerested in?,Republic of Ireland.,"15; can, but do not have to, have 15 jurors"
60,-3713688239328074547,How many jury members in a criminal trial?,How many jury members in a criminal trial during WWII in England and Wales (except murder and treason)?,Criminal trial of which region are you inerested in?,England and Wales during WWII.,7
61,2034739379280412436,Who has conceded the most goals in the premiership?,Which team has conceded the most goals in the premiership?,Do you prefer to know about the team or the goalkeeper?,The team.,Tottenham Hotspur
62,2034739379280412436,Who has conceded the most goals in the premiership?,Which goalkeeper has conceded the most goals in the premiership?,Do you prefer to know about the team or the goalkeeper?,The goalkeeper.,Tim Krul
63,8651809831547260844,Where did the 60's scoop take place?,Which country did the 60's scoop take place?,Do you want to know the the country where it took place or the providence that had an Indigenous transracial adoption program?,The country.,Canada
64,8651809831547260844,Where did the 60's scoop take place?,Which providence in which the 60's scoop took place had an Indigenous transracial adoption program?,Do you want to know the country where it took place or the providence that had an Indigenous transracial adoption program?,The providence. ,Saskatchewan
65,-2558199766533138150,Who invented the process to remove impurities by blasts of cold air blown through heated iron?,What Englishman invented the process to remove impurities by blasts of cold air blown through heated iron?,Are you interested in an English or American inventor?,English.,Henry Bessemer
66,-2558199766533138150,Who invented the process to remove impurities by blasts of cold air blown through heated iron?,What American independently discovered  the process to remove impurities by blasts of cold air blown through heated iron?,Are you interested in an English or American inventor?,Americain. ,William Kelly
67,3855307908076704970,Who played lionel in all in the family?,Who played lionel in all in the family in two unaired pilots?,Which period of time are you interested in?,In two unaired pilots. ,Martin; D'Urville Martin
68,3855307908076704970,Who played lionel in all in the family?,Who played lionel in all in the family from 1971-1975?,Which period of time are you interested in?,From 1971 to 1975.,Mike Evans; Evens
69,3855307908076704970,Who played lionel in all in the family?,Who played lionel in all in the family from 1975-1978?,Which period of time are you interested in?,From 1975 to 1978.,Damon Evans; Evans
70,3855307908076704970,Who played lionel in all in the family?,Who played lionel in all in the family in 2019?,Which period of time are you interested in?,In 2019.,Adepo; Jovan Adepo
71,-4110639543763413474,Where did the saying just do it come from?,What setting did the Just do it saying come from?,"Do you want to know about the setting, the inspiration or the person who invented this saying?",The setting.,The Wieden+Kennedy advertising agency
72,-4110639543763413474,Where did the saying just do it come from?,Who coined the saying Just Do It?,"Do you want to know about the setting, the inspiration or the person who invented this saying?",The person.,Dan Wieden
73,-4110639543763413474,Where did the saying just do it come from?,What was the inspiration for the saying Just Do It?,"Do you want to know about the setting, the inspiration or the person who invented this saying?",The inspiration.,"Gary Gilmore's last words: ""Let's do it"""
74,5150378125952226530,When did brazil organize its first world cup?,When did Brazil bid for its first World Cup?,Are you interested in the bid date or the date of organisation of its first World Cup?,Bid date.,1946 FIFA Congress
75,5150378125952226530,When did brazil organize its first world cup?,When did Brazil organize its first FIFA World Cup?,Are you interested in the bid date or the date of organisation of its first World Cup?,Organisation date.,24 June to 16 July 1950
76,-6875166619428307308,What idea was used to justify u.s. foreign policy during the cold war era?,What ideas were used to justify u.s. foreign policy during the cold war era?,Do you prefer to know about the ideas or the doctrine?,The ideas.,deterrence and containment
77,-6875166619428307308,What idea was used to justify u.s. foreign policy during the cold war era?,What doctrine was used to justify u.s. foreign policy during the cold war era?,Do you prefer to know about the ideas or the doctrine?,The doctrine.,Truman Doctrine
78,5693531505008967478,When is the sims mobile supposed to come out?,When did The Sims Mobile release in Brazil?,In which country?,In Brazil.,"May 9, 2017"
79,5693531505008967478,When is the sims mobile supposed to come out?,When did The Sims Mobile release worldwide?,In which country?,Worldwide.,"March 6, 2018"
80,7754002205765507756,Who is playing in the peach bowl this year?,Who is playing in the peach bowl in 2016?,In what year?,2016.,Washington; Alabama
81,7754002205765507756,Who is playing in the peach bowl this year?,Who is playing in the peach bowl in 2015?,In what year?,2015.,Florida State; Houston
82,7754002205765507756,Who is playing in the peach bowl this year?,Who is playing in the peach bowl in 2014?,In what year?,2014.,TCU; Mississippi
83,-2590664031903851316,When did ireland rugby last win the grand slam?,When did ireland rugby first win the grand slam?,Which one are you interested in?,The first.,29 March 1948
84,-2590664031903851316,When did ireland rugby last win the grand slam?,When did ireland rugby last win its second grand slam?,Which one are you interested in?,The second,21 March 2009
85,-2590664031903851316,When did ireland rugby last win the grand slam?,When did ireland rugby last win its third grand slam?,Which one are you interested in?,The third.,10 March 2018
86,3204171409264914923,When was the last time eagles were in the superbowl?,When was the second time eagles were in the superbowl?,Do you want to know about the first or the second time?,The first.,"Super Bowl XXXIX; 2004 season; XXXIX; February 6, 2005"
87,3204171409264914923,When was the last time eagles were in the superbowl?,When was the first time eagles were in the superbowl?,Do you want to know about the first or the second time?,The second.,"January 25, 1981; Super Bowl XV; XV; 1980 season"
88,3240942651859718397,Who was the first captain of indian cricket team?,Who was the first captain of the Indian men's cricket team?,"Do you want to know about the captain of the men's, women's or under-19 team?",The men's cricket team.,CK Nayudu
89,3240942651859718397,Who was the first captain of indian cricket team?,Who was the first captain of the Indian women's cricket team?,"Do you want to know about the captain of the men's, women's or under-19 team?",The women's cricket team.,Shantha Rangaswamy
90,3240942651859718397,Who was the first captain of indian cricket team?,Who was the first captain of the Indian Under-19 cricket team?,"Do you want to know about the captain of the men's, women's or under-19 team?",The Under-19 cricket team.,Krishnamachari Srikkanth
91,1332897475571730747,What book of the bible is the ten commandments in?,In what book are the ten commandments first mentioned in the Bible?,Do you want to know about the first or the second mention?,The first.,Exodus
92,1332897475571730747,What book of the bible is the ten commandments in?,In what book are the ten commandments mentioned second in the Bible?,Do you want to know about the first or the second mention?,The second.,Deuteronomy
93,1109919554091311092,Who is the minister of agriculture in south africa?,Who became the minister of agriculture in south africa in 2014?,As of what year?,2014.,Senzeni Zokwana
94,1109919554091311092,Who is the minister of agriculture in south africa?,Who became the minister of agriculture in south africa in 2009?,As of what year?,2009.,Tina Joemat-Peterson
95,1109919554091311092,Who is the minister of agriculture in south africa?,Who became the minister of agriculture in south africa in 2006?,As of what year?,2006.,"Lulama ""Lulu"" Marytheresa Xingwana; Lulu; Lulama Xingwana"
96,-8086186598590428328,What day is the new star wars movie?,What day is the new star wars movie releasing in 2017?,In what year?,2017.,"December 15, 2017"
97,-8086186598590428328,What day is the new star wars movie?,What day is the new star wars movie releasing in 2015?,In what year?,2015.,"December 18, 2015"
98,-8086186598590428328,What day is the new star wars movie?,What day is the new star wars movie releasing in 2005?,In what year?,2005.,"May 19, 2005"
99,2217144977440365678,When did the lg g6 phone come out?,When did the original lg g6 phone come out?,Do you prefer to know about the original lg g6 phone or the lg g6+?,Original one.,"February 26, 2017"
100,2217144977440365678,When did the lg g6 phone come out?,When did the lg g6+ phone come out?,Do you prefer to know about the original lg g6 phone or the lg g6+?,Plus version.,"June 19, 2017"
101,6267368935580291991,Who sings in what's love got to do with it movie?,Who is singing as Tina Turner in what's love got to do with it movie?,Are you interested in a person who sings as Tina Turner or as Ike Turner?,Tina Turner.,Anna Mae Bullock; Tina Turner
102,6267368935580291991,Who sings in what's love got to do with it movie?,Who is singing as Ike Turner in what's love got to do with it movie?,Are you interested in a person who sings as Tina Turner or as Ike Turner?,Ike Turner.,Laurence Fishburne
103,-3521200059945079578,When was the last time the jets won a superbowl?,When was the last season the jets won a superbowl?,Do you want to know about the last season or the last date?,Season.,1968 New York Jets season; 1968
104,-3521200059945079578,When was the last time the jets won a superbowl?,When was the last date the jets won a superbowl?,Do you want to know about the last season or the last date?,Date.,"January 12, 1969"
105,-228017844504433803,Who does the voice of cortana in halo?,Who acts and does the voice of cortana in the 2021 halo tv series?,What are you interested in from halo?,The 2021 halo tv series.,Natascha McElhone; McElhone
106,-228017844504433803,Who does the voice of cortana in halo?,Who does the voice of cortana in halo video games?,What are you interested in from halo?,The halo video games.,Taylor; Jen Taylor
107,-228017844504433803,Who does the voice of cortana in halo?,Who does the voice of cortana in halo legends?,What are you interested in from halo?,The halo legends.,Calene-Black; Shelley Calene-Black
108,-2071940157427414850,Who played obi wan kenobi in star wars episode 3?,Who plays Obi Wan in Star Wars Episode 3?,Do you want to know who plays him in the movie or who voices him in the video game?,Who plays him in the movie.,Ewan McGregor
109,-2071940157427414850,Who played obi wan kenobi in star wars episode 3?,Who voices Obi Wan in the Star Wars Episode 3 video game?,Do you want to know who plays him in the movie or who voices him in the video game?,Who voices him in the video game.,James Arnold Taylor
110,-6839117089970381436,What are the names of the three hobbit movies?,What are the names of the three prequel hobbit movies?,Are you interested in prequel movies or Lord of Rings related?,The prequel hobbit movies.,"An Unexpected Journey, The Desolation of Smaug, and The Battle of the Five Armies"
111,-6839117089970381436,What are the names of the three hobbit movies?,What are the names of the three Lord of the Rings hobbit movies?,Are you interested in prequel movies or Lord of Rings related?,The Lord of the Rings hobbit movies.,"The Fellowhip of the Ring, The Two Towers, and The Return of the King"
112,-4490620988150231901,Where do historians believe the black death originated?,Where do historians believe the black death originated in animal?,Do you want to know about which animals it came from or where it originated georgraphically?,The animals.,"ground rodents, including marmots"
113,-4490620988150231901,Where do historians believe the black death originated?,Where is the location do historians believe the black death originated?,Do you want to know about which animals it came from or where it originated georgraphically?,The location.,Europe
114,-7748524737773999409,How do they test for drugs at the olympics?,How do they test for most drugs at the Olympics?,Do you want to know how do they test for most drugs or for blood doping?,Most drugs.,urine testing
115,-7748524737773999409,How do they test for drugs at the olympics?,How do they test for blood doping at the Olympics?,Do you want to know how do they test for most drugs or for blood doping?,Blood doping.,Blood test
116,1459126538041943679,Who is the secretary of state in arkansas?,Who is the secretary of state in arkansas from 2011-2019?,Which period of time are you interested in?,From 2011 to 2019.,Mark Martin; Mark Russell Martin
117,1459126538041943679,Who is the secretary of state in arkansas?,Who is the secretary of state in arkansas from 2003-2011?,Which period of time are you interested in?,From 2003 to 2011.,Charlie Daniels
118,1459126538041943679,Who is the secretary of state in arkansas?,Who is the secretary of state in arkansas from 1995-2003?,Which period of time are you interested in?,From 1995 to 2003.,Sharon Mary Priest; Sharon Priest
119,-8834069158837396685,Who wrote the music for shrek the musical?,Who wrote the music scores for shrek the musical?,Do you prefer to know about musical scores or song lyrics?,Musical scores.,Tesori; Jeanine Tesori
120,-8834069158837396685,Who wrote the music for shrek the musical?,Who wrote the music lyrics for shrek the musical?,Do you prefer to know about musical scores or song lyrics?,Lyrics.,Lindsay-Abaire; David Lindsay-Abaire
121,2837484115382116119,What size is a california king size mattress?,What is the length of a California King Matress?,Are you interested in length or width?,Length.,83.5 inches; 212 centimeters
122,2837484115382116119,What size is a california king size mattress?,What is the width of a California King Matress?,Are you interested in length or width?,Width.,72 inches; 183 centimeters
123,-8850169184954446631,What is the largest province in sri lanka?,What is the largest province in sri lanka by area?,Do you want to know about the largest province by area or by population?,By area.,North Central
124,-8850169184954446631,What is the largest province in sri lanka?,What is the largest province in sri lanka by population?,Do you want to know about the largest province by area or by population?,By population.,Western
125,6373189865465953269,Who plays the man in the yellow hat on curious george?,Who plays the Man in the Yellow Hat on the TV series Curious George?,"Are you interested in the TV series, the first movie, or the second one?",The TV series.,Jeff Bennett
126,6373189865465953269,Who plays the man in the yellow hat on curious george?,Who plays the Man in the Yellow Hat on the movie  Curious George?,"Are you interested in the TV series, the first movie, or the second one?",The first movie.,Will Ferrell
127,6373189865465953269,Who plays the man in the yellow hat on curious george?,Who plays the Man in the Yellow Hat on the movie  Curious George 2: Follow That Monkey!?,"Are you interested in the TV series, the first movie, or the second one?",The second movie.,Jeff Bennett
128,5133876537670324411,Actress who played amy pond in doctor who?,Who played the original Amy Pond in Doctor Who?,Do you want to know who played the original Amy Pond or her young version?,Original.,Karen Gillan
129,5133876537670324411,Actress who played amy pond in doctor who?,Who played the young Amy Pond in Doctor Who?,Do you want to know who played the original Amy Pond or her young version?,Young.,Caitlin Blackwood
130,8932763630388059887,Who sings you make me feel like dancing?,"Who sings lead vocals for you make me feel like dancing, released in 1976?","Are you interested in lead vocals, backing vocals or cover?",The lead vocals in the version of 1976.,Gerard Hugh Sayer; Leo Sayer; Sayer
131,8932763630388059887,Who sings you make me feel like dancing?,"Who sings background vocals for you make me feel like dancing, released in 1976?","Are you interested in lead vocals, backing vocals or cover?",The background vocals in the version of 1976.,"Clydie King; Louis; Clydie King, Becky Louis, Sherlie Matthews; Becky Louis; Sherlie Matthews; King; Clydie Mae King; Matthews; Brown Sugar"
132,8932763630388059887,Who sings you make me feel like dancing?,"Who sings you make me feel like dancing, covered in 2000?","Are you interested in lead vocals, backing vocals or cover?",The 2000 version.,"Donald Andrew ""Donnie"" McClurkin, Jr.; Carmen Carter & Donnie McClurkin; McClurkin"
133,8932763630388059887,Who sings you make me feel like dancing?,"Who sings you make me feel like dancing, covered in 2004?","Are you interested in lead vocals, backing vocals or cover?",The 2004 version.,Hathaway; Anne Hathaway; Anne Jacqueline Hathaway
134,8932763630388059887,Who sings you make me feel like dancing?,"What group sings you make me feel like dancing, covered alongside Leo Sayer in 2008?","Are you interested in lead vocals, backing vocals or cover?",The 2008 group version with Leo Sayer.,The Wiggles
135,8932763630388059887,Who sings you make me feel like dancing?,"What five singers from the Wiggles sing you make me feel like dancing, covered alongside Leo Sayer in 2008?","Are you interested in lead vocals, backing vocals or cover?",The 2008 version of five singers from the Wiggles and Leo Sayer.,"Anthony Field, Phillip Wilcher, Murray Cook, Sam Moran, and Jeff Fatt"
136,8923681797804610584,What's the legal age to drink in russia?,What is the legal private drinking age in Russia?,Are you interested in private or public drinking age?,Private.,none
137,8923681797804610584,What's the legal age to drink in russia?,What is the legal public drinking age in Russia?,Are you interested in private or public drinking age?,Public.,16
138,-2938945366077744797,How old do you have to be to get a tattoo in indiana?,How old do you have to be to get a tattoo in Indiana without parental consent?,Do you prefer to know about getting tattoo with or without parental consent?,Without parental consent.,18
139,-2938945366077744797,How old do you have to be to get a tattoo in indiana?,How old can you be to get a tattoo in Indiana with parental consent?,Do you prefer to know about getting tattoo with or without parental consent?,With parental consent.,none specified
140,-652117253746563674,What is the name of the princess in frozen?,"What is the name of the princess in Frozen, who eventually becomes queen?",Are you interested in the one that becomes queen or her younger sister?,One who becomes queen.,Elsa
141,-652117253746563674,What is the name of the princess in frozen?,"What is the name of the princess in Frozen, who is the younger sister?",Are you interested in the one that becomes queen or her younger sister?,The younger sister.,Anna
142,-2633917229646894638,When did california become a state of the united states?,When did the land that is California become part of the united States?,Do you mean when the land became part of the US or when it was officially added as a state?,The land.,1848
143,-2633917229646894638,When did california become a state of the united states?,When was California officially added to the United States?,Do you mean when the land became part of the US or when it was officially added as a state?,Official statehood.,"September 9, 1850"
144,-7869146853815250428,Who sings bet on it in high school musical?,Who sings bet on it in the high school musical 2 film?,Do you mean in the movie or in the soundtrack?,In the film.,Efron; Zac Efron; Zachary David Alexander Efron
145,-7869146853815250428,Who sings bet on it in high school musical?,Who sings bet on it on the high school musical 2 soundtrack?,Do you mean in the movie or in the soundtrack?,In the soundtrack.,Efron; Zac Efron; Zachary David Alexander Efron
146,-2701905006672196275,When did ariana grandes new album come out?,When did ariana grandes new compilation album come out?,Which album are you interested in?,New compilation album.,"September 27, 2017"
147,-2701905006672196275,When did ariana grandes new album come out?,When did ariana grandes new live album come out?,Which album are you interested in?,New live album.,"December 23, 2019"
148,-2701905006672196275,When did ariana grandes new album come out?,When did ariana grandes new remix album come out?,Which album are you interested in?,New remix album.,"May 25, 2015"
149,-2701905006672196275,When did ariana grandes new album come out?,When did ariana grandes album Dangerous Woman come out?,Which album are you interested in?,Dangerous Woman.,"May 20, 2016"
150,-2701905006672196275,When did ariana grandes new album come out?,When did ariana grandes album My Everything come out?,Which album are you interested in?,My Everything.,"August 25, 2014"
151,-2701905006672196275,When did ariana grandes new album come out?,When did ariana grandes album Yours Truly come out?,Which album are you interested in?,Yours Truly.,"September 3, 2013"
152,-4268291779673036451,When did the edwardian era start and end?,When did the edwardian era start?,Do you want to know when it started or ended?,Started.,1901; 22 January 1901
153,-4268291779673036451,When did the edwardian era start and end?,When is it widely accepted that the edwardian era end?,Do you want to know when it started or ended?,"Ended, according to widely accepted opinion.",1910
154,-4268291779673036451,When did the edwardian era start and end?,"According to some, when did the edwardian era end?",Do you want to know when it started or ended?,"Ended, according to some.",2 January 1901; January 1901
155,6635381132510830269,Who was the dog in marley and me?,Which dog plays Marley in Marley and Me?,Do you mean Merley as an adult?,No.,22 different dogs
156,6635381132510830269,Who was the dog in marley and me?,Which dog plays Marley the most as an adult in Marley and Me?,Do you mean Merley as an adult?,Yes.,Clyde
157,41813383673449160,Where is mass wasting most likely to occur?,On what geographical features is mass wasting most likely to occur?,Are you interested in geographical features or conditions?,The geographical features.,terrestrial slopes; submarine slopes
158,41813383673449160,Where is mass wasting most likely to occur?,What conditions make mass wasting occur?,Are you interested in geographical features or conditions?,The conditions.,When the gravitational force acting on a slope exceeds its resisting force
159,2437211415582489495,Who wrote the music for conan the barbarian?,Who wrote the music for the 2011 conan the barbarian film?,The film of which year are you interested in?,2011,Thomas Kloss
160,2437211415582489495,Who wrote the music for conan the barbarian?,Who wrote the music for the 1982 conan the barbarian film?,The film of which year are you interested in?,1982,Basil Konstantine Poledouris; Basil Poledouris
161,5277039265479571506,What type of book is the fault in our stars?,What type of book is the fault in our stars when describing intended age group?,"Do you mean what type of book it is in general, in relation to its intended age group, or content-wise?",Intended age group.,young adult; Young adult novel
162,5277039265479571506,What type of book is the fault in our stars?,What type of book is the fault in our stars when describing general content?,"Do you mean what type of book it is in general, in relation to its intended age group, or content-wise?",In general.,Realistic fiction; fiction
163,5277039265479571506,What type of book is the fault in our stars?,What type of book is the fault in our stars when describing the young characters' serious illnesses?,"Do you mean what type of book it is in general, in relation to its intended age group, or content-wise?",Content-wise.,"""sick-lit""; ""sick-lit"" young adult genre; ""sick-lit"" young adult"
164,-3139712300447252950,When did the old age pension start in australia?,When did an old age pension start in parts of australia?,Do you mean in parts of Australia or nationwide?,In parts of Australia.,1900
165,-3139712300447252950,When did the old age pension start in australia?,When did the nationwide old age pension take effect in australia?,Do you mean in parts of Australia or nationwide?,Nationwide.,1 January 1909
